State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Florida,1/4/2020,"4,618",12/28/2019,"36,189","8,608,066",0.42
Florida,1/11/2020,"6,862",1/4/2020,"35,024","8,604,277",0.41
Florida,1/18/2020,"6,088",1/11/2020,"34,718","8,604,277",0.4
Florida,1/25/2020,"5,206",1/18/2020,"33,347","8,604,277",0.39
Florida,2/1/2020,"5,457",1/25/2020,"35,871","8,604,277",0.42
Florida,2/8/2020,"5,605",2/1/2020,"33,176","8,604,277",0.39
Florida,2/15/2020,"5,229",2/8/2020,"34,449","8,604,277",0.4
Florida,2/22/2020,"4,861",2/15/2020,"33,570","8,604,277",0.39
Florida,2/29/2020,"4,853",2/22/2020,"33,421","8,604,277",0.39
Florida,3/7/2020,"5,325",2/29/2020,"32,262","8,604,277",0.37
Florida,3/14/2020,"6,463",3/7/2020,"32,244","8,604,277",0.37
Florida,3/21/2020,"74,313",3/14/2020,"33,728","8,604,277",0.39
Florida,3/28/2020,"228,484",3/21/2020,"35,076","8,604,277",0.41
Florida,4/4/2020,"169,885",3/28/2020,"98,921","8,604,277",1.15
Florida,4/11/2020,"180,419",4/4/2020,"339,448","8,590,846",3.95
Florida,4/18/2020,"506,670",4/11/2020,"177,021","8,590,846",2.06
Florida,4/25/2020,"433,103",4/18/2020,"540,554","8,590,846",6.29
Florida,5/2/2020,"174,860",4/25/2020,"444,561","8,590,846",5.17
Florida,5/9/2020,"223,082",5/2/2020,"1,035,207","8,590,846",12.05
Florida,5/16/2020,"225,404",5/9/2020,"2,151,108","8,590,846",25.04
Florida,5/23/2020,"175,411",5/16/2020,"529,384","8,590,846",6.16
Florida,5/30/2020,"207,707",5/23/2020,"630,640","8,590,846",7.34
Florida,6/6/2020,"112,161",5/30/2020,"966,625","8,590,846",11.25
Florida,6/13/2020,"88,148",6/6/2020,"920,202","8,590,846",10.71
Florida,6/20/2020,"95,683",6/13/2020,"995,792","8,590,846",11.59
Florida,6/27/2020,"84,370",6/20/2020,"741,344","8,590,846",8.63
Florida,7/4/2020,"66,941",6/27/2020,"581,952","8,590,846",6.77
Florida,7/11/2020,"132,831",7/4/2020,"914,801","8,732,627",10.48
Florida,7/18/2020,"108,976",7/11/2020,"748,004","8,732,627",8.57
Florida,7/25/2020,"91,462",7/18/2020,"691,070","8,732,627",7.91
Florida,8/1/2020,"78,286",7/25/2020,"631,163","8,732,627",7.23
Florida,8/8/2020,"61,584",8/1/2020,"567,987","8,732,627",6.5
Florida,8/15/2020,"72,774",8/8/2020,"512,527","8,732,627",5.87
Florida,8/22/2020,"51,647",8/15/2020,"458,954","8,732,627",5.26
Florida,8/29/2020,"45,590",8/22/2020,"455,587","8,732,627",5.22
Florida,9/5/2020,"40,256",8/29/2020,"410,406","8,732,627",4.7
Florida,9/12/2020,"37,265",9/5/2020,"414,174","8,732,627",4.74
Florida,9/19/2020,"39,028",9/12/2020,"374,181","8,732,627",4.28
Florida,9/26/2020,"32,373",9/19/2020,"373,194","8,732,627",4.27
Florida,10/3/2020,"42,306",9/26/2020,"337,344","8,769,716",3.85
Florida,10/10/2020,"47,904",10/3/2020,"300,115","8,769,716",3.42
Florida,10/17/2020,"40,070",10/10/2020,"287,537","8,769,716",3.28
Florida,10/24/2020,"33,542",10/17/2020,"282,261","8,769,716",3.22
Florida,10/31/2020,"31,625",10/24/2020,"213,454","8,769,716",2.43
Florida,11/7/2020,"31,403",10/31/2020,"205,800","8,769,716",2.35
Florida,11/14/2020,"24,358",11/7/2020,"186,514","8,769,716",2.13
Florida,11/21/2020,"26,931",11/14/2020,"186,291","8,769,716",2.12
Florida,11/28/2020,"23,063",11/21/2020,"142,253","8,769,716",1.62
Florida,12/5/2020,"29,142",11/28/2020,"186,749","8,769,716",2.13
Florida,12/12/2020,"26,018",12/5/2020,"154,462","8,769,716",1.76
Florida,12/19/2020,"28,609",12/12/2020,"161,250","8,769,716",1.84
Florida,12/26/2020,"26,533",12/19/2020,"140,565","8,769,716",1.6
Florida,1/2/2021,"24,697",12/26/2020,"129,575","8,769,716",1.48
Florida,1/9/2021,"30,583",1/2/2021,"174,544","8,510,391",2.05
Florida,1/16/2021,"39,226",1/9/2021,"157,201","8,510,391",1.85
Florida,1/23/2021,"62,818",1/16/2021,"155,833","8,510,391",1.83
Florida,1/30/2021,"69,140",1/23/2021,"173,919","8,510,391",2.04
Florida,2/6/2021,"21,710",1/30/2021,"187,474","8,510,391",2.2
Florida,2/13/2021,"21,564",2/6/2021,"228,808","8,510,391",2.69
Florida,2/20/2021,"18,630",2/13/2021,"161,881","8,510,391",1.9
,,,,,,
Run Date: 3/9/2021,,,,,,
